	f	ranksum	chi	corrcoeff	mi
per_sent___modal_count	0.114786068888	13.4965156106	10.7308348966	0.0047980354814	0.0361641037107
per_sent___imperative_count	123.638250439	6.47507494156	61.4512319737	0.155554059114	0.0125541448459
per_sent___one_char_token_count	2.55633695688	6.06047294707	452.580583065	0.0226371427093	0.0191327436241
per_sent___connectors_count	1.95563170231	24.5748653587	78.4811962541	0.0198007774963	0.0795001212147
per_sent___wh_pronouns	0.0759644508506	6.29193701974	0.940618006169	0.0039032444954	0.0
per_sent___rep_punc_count	149.267409213	6.60118505566	96.718848096	0.170490806703	0.0151740423202
per_sent___paras_count	105.682333168	12.6375293406	136.523204984	0.144069001469	0.0350878947104
per_sent___urbdict_only	1.65667976077	2.86615862159	625.537291693	0.0182251456391	0.00859995427917
per_sent___blacklist	8.82796529777	42.3499807347	4634.1041633	0.0420407099417	0.294001083544
per_sent___no_dict	1.09385439624	14.0963104944	50.0178289999	0.0148100316812	0.0398435606675
per_tokens___no_dict	11.0270734515	9.65659733982	1.28565104054	0.0469758105584	0.0514662735891
per_tokens___urbdict_only	71.5182863508	5.00418029482	6.51509601126	0.118915870404	0.0279648557225
per_tokens___blacklist	1413.98548	42.450910122	208.705821891	0.470038011759	0.296963117762
per_tokens___all_caps_count	442.959398678	6.37388991238	251.268097887	0.28564305127	0.0813692138559
per_tokens___long_words_count	395.271996172	22.7544984068	25.9371096326	0.27102262759	0.0790008892073
per_tokens___modified_tokens_count	3.44981887388	1.05297913998	0.566713246806	0.0262949177927	0.00679505048648
per_tokens___num_count	105.912905353	10.3777336332	12.5381441573	0.144222811483	0.0251510860225
per_imperatives___imperative_indirect	7.49999123625	0.295374546834	7.17986212183	0.0387550098169	0.0
per_imperatives___imperative_strength	41.8056159754	2.4201225062	37.9511839512	0.0911859808621	0.00435730966588
per_imperatives___imperative_polite	65.7216905565	2.97066699542	58.3313807993	0.114060338187	0.000906772790112
