	index	f	ranksum	chi	corrcoeff	mi
as_is___blacklist_CAPS	36.0	15.8076694629	10.7111103312	7829.19400935	0.0562173576754	0.0615246278225
as_is___mixed_case_word_count	37.0	0.071328491448	7.77519096894	10.3207800203	0.0037822678052	0.0273636475553
as_is___noise_count	38.0	0.0397365405296	0.291500588861	0.266592672195	0.00282304083146	0.0
as_is___urbdict_only	39.0	2.00412141035	8.04434255661	532.455166604	0.0200446562122	0.00800327662792
as_is___blacklist	40.0	37.4465369523	41.7126556539	15349.2313006	0.0863385872262	0.294563722084
as_is___no_dict	41.0	2.04079887427	16.7631864252	161.124621664	0.0202271690669	0.0433840998366
as_is___modified_tokens_count	42.0	1.31371144783	1.34532531357	277.370226055	0.0162299300744	0.0
as_is___in_dict	43.0	10.1461654688	17.1188039682	3767.88685955	0.0450643802347	0.0362468414856
as_is___polite	44.0	147.493707167	10.5012185016	363.183468666	0.169504108307	0.0297767110228
as_is___imperative_count	45.0	7.11139170293	5.60760332713	1747.52960361	0.0377391116435	0.003913266848
per_sent___sent_endings_count	46.0	11.4303430634	2.97957513228	206.741667852	0.0478251408697	0.0356211398685
per_sent___ellipsis_count	47.0	28.8796744713	1.17147899146	34.9836031259	0.0758867385586	0.0098587996565
per_sent___modal_count	48.0	0.114786068888	13.4965156106	10.7308348966	0.0047980354814	0.0240872113383
per_sent___imperative_count	49.0	123.638250439	6.47507494156	61.4512319737	0.155554059114	0.00623566652381
per_sent___one_char_token_count	50.0	2.55633695688	6.06047294707	452.580583065	0.0226371427093	0.0160316818682
per_sent___connectors_count	51.0	1.95563170231	24.5748653587	78.4811962541	0.0198007774963	0.078621828324
per_sent___wh_pronouns	52.0	0.0759644508506	6.29193701974	0.940618006169	0.0039032444954	0.00627223282529
per_sent___rep_punc_count	53.0	149.267409213	6.60118505566	96.718848096	0.170490806703	0.0136278748682
per_sent___paras_count	54.0	105.682333168	12.6375293406	136.523204984	0.144069001469	0.0308446999009
per_sent___urbdict_only	55.0	1.65667976077	2.86615862159	625.537291693	0.0182251456391	0.0195679559988
per_sent___blacklist	56.0	8.82796529777	42.3499807347	4634.1041633	0.0420407099417	0.30126838667
per_sent___no_dict	57.0	1.09385439624	14.0963104944	50.0178289999	0.0148100316812	0.0389019236858
per_tokens___no_dict	58.0	11.0270734515	9.65659733982	1.28565104054	0.0469758105584	0.0372132030457
per_tokens___urbdict_only	59.0	71.5182863508	5.00418029482	6.51509601126	0.118915870404	0.0413230285605
per_tokens___blacklist	60.0	1413.98548	42.450910122	208.705821891	0.470038011759	0.312050923072
per_tokens___all_caps_count	61.0	442.959398678	6.37388991238	251.268097887	0.28564305127	0.075854201081
per_tokens___long_words_count	62.0	395.271996172	22.7544984068	25.9371096326	0.27102262759	0.0750153324897
per_tokens___modified_tokens_count	63.0	3.44981887388	1.05297913998	0.566713246806	0.0262949177927	0.00288006983265
per_tokens___num_count	64.0	105.912905353	10.3777336332	12.5381441573	0.144222811483	0.0172378078096
per_imperatives___imperative_indirect	65.0	7.49999123625	0.295374546834	7.17986212183	0.0387550098169	0.0149688043889
per_imperatives___imperative_strength	66.0	41.8056159754	2.4201225062	37.9511839512	0.0911859808621	0.0
per_imperatives___imperative_polite	67.0	65.7216905565	2.97066699542	58.3313807993	0.114060338187	0.0115303066809
